,1,2,3,4,5,6,7,8,9,10,11,12
2000,177,192,219,127,533,2445,1923,2300,1662,1190,74,19
2001,8,86,43,70,2041,3375,1895,1482,2552,2306,357,0
2002,295,13,60,157,2134,1712,1830,2508,1534,625,137,20
2003,153,13,11,151,925,3292,1534,2302,1917,328,109,99
2004,61,0,0,833,800,2436,4163,1804,3097,365,311,18
2005,21,66,437,153,218,2199,4044,2045,2943,1376,0,100
2006,0,168,3,134,1725,2600,1591,746,1958,1640,34,77
2007,221,115,0,718,1557,766,3684,2381,1964,1227,278,5
2008,221,148,268,209,1356,2187,3576,805,621,2561,219,31
2009,97,13,127,303,978,2756,2124,2482,1462,670,10,36
2010,0,0,3,137,651,1907,3119,1842,2074,1769,279,35
2011,199,0,64,169,697,2713,865,1809,2125,574,104,20
